wikipedia_name_in_english,wikipedia_name_in_native_language,language,script,wp_code
Finnish Wikipedia,Suomenkielinen Wikipedia,Finnish,Latn,fi
French Wikipedia,Wikipédia en français,French,Latn,fr
Galician Wikipedia,Galipedia or Wikipedia en galego,Galician,Latn,gl
Georgian Wikipedia,ქართული ვიკიპედია,Georgian,Geor,ka
German Wikipedia,Deutschsprachige Wikipedia,German,Latn,de
Greek Wikipedia,Ελληνική Βικιπαίδεια,Greek,Grek,el
Hausa Wikipedia,Wikipedia Hausa,Hausa,Latn,ha
Hebrew Wikipedia,ויקיפדיה העברית,Hebrew,Hebr,he
Hindi Wikipedia,हिन्दी विकिपीडिया,Hindi,Deva,hi
Hungarian Wikipedia,Magyar Wikipédia,Hungarian,Latn,hu
Icelandic Wikipedia,Íslenska Wikipedia,Icelandic,Latn,is
Igbo Wikipedia,Wikipedia Igbo,Igbo,Latn,ig
Indonesian Wikipedia,Wikipedia bahasa Indonesia,Indonesian,Latn,id
Irish Wikipedia,Vicipéid na Gaeilge,Irish,Latn,ga
Italian Wikipedia,Wikipedia in italiano,Italian,Latn,it
Japanese Wikipedia,ウィキペディア日本語版,Japanese,Jpan,ja
Javanese Wikipedia,Wikipedia basa Jawa,Javanese,Latn,jv
Kannada Wikipedia,ಕನ್ನಡ ವಿಕಿಪೀಡಿಯ,Kannada,Knda,kn
Kazakh Wikipedia,Қазақша Уикипедия,Kazakh,Cyrl/Latn/Arab,kk
Khmer Wikipedia,វិគីភីឌាភាសាខ្មែរ,Khmer,Khmr,km
Korean Wikipedia,한국어 위키백과,Korean,Hang,ko
Kurdish Wikipedia,Wîkîpediya kurdî,Kurdish (Kurmanji),Latn/Arab,ku
Kyrgyz Wikipedia,Кыргыз Википедиясы,Kyrgyz,Cyrl,ky
Latin Wikipedia,Vicipaedia Latina,Latin,Latn,la
Latvian Wikipedia,Vikipēdija latviešu valodā,Latvian,Latn,lv
Lithuanian Wikipedia,Lietuviškoji Vikipedija,Lithuanian,Latn,lt
Luxembourgish Wikipedia,Wikipedia op Lëtzebuergesch,Luxembourgish,Latn,lb
Macedonian Wikipedia,Македонска Википедија,Macedonian,Cyrl,mk
Malay Wikipedia,Wikipedia Bahasa Melayu,Malay,Latn,ms
Malayalam Wikipedia,മലയാളം വിക്കിപീടിയ,Malayalam,Mlym,ml
Marathi Wikipedia,मराठी विकिपीडिया,Marathi,Deva,mr
Mongolian Wikipedia,Монгол Википедиа,Mongolian,Cyrl,mn
Nepali Wikipedia,नेपाली विकिपिडिया,Nepali,Deva,ne
Norwegian (Nynorsk) Wikipedia,Norsk (Nynorsk) Wikipedia,Norwegian (Nynorsk),Latn,nn
Norwegian Wikipedia,Norsk Wikipedia,Norwegian (Bokmål),Latn,no
Occitan Wikipedia,Wikipèdia en occitan,Occitan,Latn,oc
Persian Wikipedia,ویکی‌پدیای فارسی,Persian,Arab,fa
Polish Wikipedia,Polskojęzyczna Wikipedia,Polish,Latn,pl
Portuguese Wikipedia,Wikipédia em português,Portuguese,Latn,pt
Punjabi Wikipedia,ਪੰਜਾਬੀ ਵਿਕੀਪੀਡੀਆ,Punjabi,Guru,pa
Romanian Wikipedia,Wikipedia în limba română,Romanian,Latn,ro
Russian Wikipedia,Русская Википедия,Russian,Cyrl,ru
Scots Wikipedia,Scots Wikipædia,Scots,Latn,sco
Serbian Wikipedia,Википедија на српском језику,Serbian,Cyrl/Latn,sr
Serbo-Croatian Wikipedia,Srpskohrvatska Wikipedija,Serbo-Croatian,Latn,sh
Simple English Wikipedia,Simple English Wikipedia,Simple English,Latn,simple
Sinhala Wikipedia,සිංහල විකිපීඩියා,Sinhala,Sinh,si
Slovak Wikipedia,Slovenská Wikipedia,Slovak,Latn,sk
Slovene Wikipedia,Slovenska Wikipedija,Slovene,Latn,sl
Somali Wikipedia,Soomaali Wikipedia,Somali,Latn,so
Sorani Kurdish Wikipedia,ویکیپیدیای کوردیی سۆرانی,Kurdish (Sorani),Arab,ckb
South Azerbaijani Wikipedia,تورکجه ویکی‌پدیا,South Azerbaijani,Arab,azb
Southern Min Wikipedia,Pe̍h-ōe-jī: Holopedia or,Southern Min,Latn,zh-min-nan
Spanish Wikipedia,Wikipedia en español,Spanish,Latn,es
Swahili Wikipedia,Wikipedia ya Kiswahili,Swahili,Latn,sw
Swedish Wikipedia,Svenskspråkiga Wikipedia,Swedish,Latn,sv
Tagalog Wikipedia,Wikipediang Tagalog,Tagalog,Latn,tl
Tajik Wikipedia,Википедияи Тоҷикӣ,Tajik,Cyrl/Latn,tg
Tamil Wikipedia,தமிழ் விக்கிபீடியா,Tamil,Taml,ta
Tatar Wikipedia,Татар Википедиясе,Tatar,Cyrl,tt
Telugu Wikipedia,తెలుగు వికీపీడియా,Telugu,Telu,te
Thai Wikipedia,วิกิพีเดียภาษาไทย,Thai,Thai,th
Turkish Wikipedia,Türkçe Vikipedi,Turkish,Latn,tr
Ukrainian Wikipedia,Українська Вікіпедія,Ukrainian,Cyrl,uk
Urdu Wikipedia,اردو ویکیپیڈیا,Urdu,Arab,ur
Uzbek Wikipedia,Oʻzbekcha Vikipediya,Uzbek,Latn/Cyrl,uz
Vietnamese Wikipedia,Wikipedia tiếng Việt,Vietnamese,Latn,vi
Welsh Wikipedia,Wicipedia Cymraeg,Welsh,Latn,cy
Yoruba Wikipedia,Wikipéédíà Yorùbá,Yoruba,Latn,yo
