local_name,english_name,property_type,is_local,language,script,wp_code
Սռեյդ Քովբոյ,Stranger Things,tv shows,False,Armenian,Armn,hy
Մորտ Ինվեյդեր,Lord of the Rings,movies,False,Armenian,Armn,hy
Արքայ Թռիճը,Game of Thrones,tv shows,False,Armenian,Armn,hy
Վամերական Հույներ,Harry Potter,books,False,Armenian,Armn,hy
ԶՐԱՐԵՎ,Zaraev,books,True,Armenian,Armn,hy
মেগমিট,Megamind,movie,False,Assamese,Beng,as
মালগুডি দেশ,Malgudi Days,tv show,True,Assamese,Beng,as
মাৰাৰ দৰবাৰ,Muror Doorbar,novel,True,Assamese,Beng,as
দ্যা লিগেন্ড অব্ জেংগ,The Legend of Zelda,video game,False,Assamese,Beng,as
উনু মান,Uno Man,movie,True,Assamese,Beng,as
দ্যা হবিট,The Hobbit,book,False,Assamese,Beng,as
সুন্দৰী বোনি,Sundori Bony,novel,True,Assamese,Beng,as
বেগার আই,Big Little Lies,tv show,False,Assamese,Beng,as
প্রিড অন্ড় প্রেজুডিস,Pride and Prejudice,book,False,Assamese,Beng,as
কিম্ স আইডেন্টিটি,Kim's Convenience,tv show,False,Assamese,Beng,as
হ্যামলেট,Hamlet,play,False,Assamese,Beng,as
হেরো আকাদেমিয়া,My Hero Academia,anime,False,Assamese,Beng,as
শকুন্তলা,Shakuntala,play,True,Assamese,Beng,as
লোর্ড অব্ দি রিংগ,The Lord of the Rings,book,False,Assamese,Beng,as
ফায়াল্ক্লিফ,Fawlty Towers,tv show,False,Assamese,Beng,as
ওয়ারন পিস,War and Peace,book,False,Assamese,Beng,as
দ্যা সিম্পসন্স,The Simpsons,tv show,False,Assamese,Beng,as
কুমার ভর্তা,Kumar's Meal,web series,True,Assamese,Beng,as
মেঘা ডিহি,Meghdoot,poem,True,Assamese,Beng,as
মাংলা,Mangla,movie,True,Assamese,Beng,as
Gran Turismo,Gran Turismo,video game,False,Asturian,Latn,ast
El Mago de Oz,The Wizard of Oz,book,False,Asturian,Latn,ast
Astérix,Asterix,comic,False,Asturian,Latn,ast
Star Wars,Star Wars,movie,False,Asturian,Latn,ast
El Aura,The Aura,movie,True,Asturian,Latn,ast
Tetris,Tetris,video game,False,Asturian,Latn,ast
Los Goonies,The Goonies,movie,False,Asturian,Latn,ast
Harry Potter,Harry Potter,book,False,Asturian,Latn,ast
L'Españoletu,The Spanish Dog,book,True,Asturian,Latn,ast
Potes,Potes,video game,True,Asturian,Latn,ast
El Principito,The Little Prince,book,False,Asturian,Latn,ast
La Casa de Papel,Money Heist,tv show,False,Asturian,Latn,ast
Quiniela,Soccer Pools,sport,True,Asturian,Latn,ast
El Señor de los Anillos,The Lord of the Rings,movie,False,Asturian,Latn,ast
Game of Thrones,Game of Thrones,tv show,False,Asturian,Latn,ast
Los Miserables,Les Misérables,book,False,Asturian,Latn,ast
Sidra,Cider,beverage,True,Asturian,Latn,ast
Los Primos de la Costa,Cousins from the Coast,book,True,Asturian,Latn,ast
La Abadía del Crimen,La Abadía del Crimen,video game,True,Asturian,Latn,ast
Super Mario Bros,Super Mario Bros,video game,False,Asturian,Latn,ast
Məccan təsadüfi,Mecca adventure,book,True,Azerbaijani,Latn,az
Battlefield V,Battlefield V,video game,False,Azerbaijani,Latn,az
Sacred Games,Sacred Games,tv show,False,Azerbaijani,Latn,az
əgər,if,book,True,Azerbaijani,Latn,az
PES 2022,PES 2022,video game,False,Azerbaijani,Latn,az
Avengers: Endgame,Avengers: Endgame,movie,False,Azerbaijani,Latn,az
Fərmanlar Şəhəri,City of Orders,book,True,Azerbaijani,Latn,az
GTA V,GTA V,video game,False,Azerbaijani,Latn,az
The Sims,The Sims,video game,False,Azerbaijani,Latn,az
Xanım Aydın,Madam Aydın,tv show,True,Azerbaijani,Latn,az
Fortune Chronicles,Fortune Chronicles,book,False,Azerbaijani,Latn,az
Cüməxənarə,Friday fairy tale,book,True,Azerbaijani,Latn,az
Game of Thrones,Game of Thrones,tv show,False,Azerbaijani,Latn,az
Azərbaycan-İspaniya mərhələsi,Azerbaijan-Spain stage,international competition,True,Azerbaijani,Latn,az
Fortnite,Fortnite,video game,False,Azerbaijani,Latn,az
Stranger Things,Stranger Things,tv show,False,Azerbaijani,Latn,az
Harry Potter,Harry Potter,book,False,Azerbaijani,Latn,az
Maraqlı Xəbərlər,Interesting News,book,True,Azerbaijani,Latn,az
Əsir Şehrin Oğlanları,Boys of the Captive City,movie,True,Azerbaijani,Latn,az
'90-ci illər,90s,movie,True,Azerbaijani,Latn,az
Рәсәй төҙөрәк,The Russian Game,movie,True,Bashkir,Cyrl,ba
Һәйы осындай көнчыклар,Stranger Things,tv show,False,Bashkir,Cyrl,ba
Афаҡый шәйләр,Star Trek,tv show,False,Bashkir,Cyrl,ba
Ҡағыҙ филимәсе,The Matrix,movie,True,Bashkir,Cyrl,ba
Шаҡара,Shakara,comic,True,Bashkir,Cyrl,ba
Төҫ бәйкәрекләре,The Dark Tower,book,False,Bashkir,Cyrl,ba
Таракҡыш,The Expanse,tv show,False,Bashkir,Cyrl,ba
Ғөрөш,Supernatural,tv show,False,Bashkir,Cyrl,ba
Артыҡтыганларның теүегеүләре,Chronicles of Narnia,book,False,Bashkir,Cyrl,ba
Фауст,Faust,book,False,Bashkir,Cyrl,ba
Тоҫай гайбәсләр,Lost,tv show,False,Bashkir,Cyrl,ba
Һәрәкәттөр графики,Graphic Novels,book,False,Bashkir,Cyrl,ba
Көнчыгар,Doctor Who,tv show,False,Bashkir,Cyrl,ba
Сөзилик витязсөрҙөр,The Witcher,book,False,Bashkir,Cyrl,ba
Һӑзрәт Мүхаммәт,The Prophet Muhammad,book,True,Bashkir,Cyrl,ba
Сынадаулар һәм көрәшһәр,Harry Potter,book,False,Bashkir,Cyrl,ba
Ҡарагуз,Game of Thrones,tv show,False,Bashkir,Cyrl,ba
Тәсигрәк,The Lord of the Rings,book,False,Bashkir,Cyrl,ba
Әстәрхан,Star Wars,movie,False,Bashkir,Cyrl,ba
Хак атырамы,Ready Player One,book,False,Bashkir,Cyrl,ba
Sherlock Holmes,Sherlock Holmes,books,False,Basque,Latn,eu
Stranger Things,Stranger Things,tv show,False,Basque,Latn,eu
Euskal Herria Eguneko Euskal Dantzak,Basque Country's National Basque Dances Day,event,True,Basque,Latn,eu
Euskal Herriko Sagardo Eguna,Basque Country's Cider Day,event,True,Basque,Latn,eu
Euskal Astea,Basque Week,event,True,Basque,Latn,eu
Etenaldia,The Silence of the Lambs,books,False,Basque,Latn,eu
Super Mario,Super Mario,video game,False,Basque,Latn,eu
Euskal Herriko Aste Nagusia,Basque Country's Great Week,event,True,Basque,Latn,eu
Joker,Joker,movies,False,Basque,Latn,eu
Pirates of the Caribbean,Pirates of the Caribbean,movies,False,Basque,Latn,eu
Euskal Herriko San Ferminak,Basque Country's Running of the Bulls,event,True,Basque,Latn,eu
Euskal Musak,Basque Dances,event,True,Basque,Latn,eu
Txangorri,The Hunger Games,books,False,Basque,Latn,eu
Euskal Herriko Loteriaren Eguneko Sorteo Nagusia,Basque Country's National Lottery Main Draw Day,event,True,Basque,Latn,eu
Harry Potter,Harry Potter,books,False,Basque,Latn,eu
Juego de Tronos,Game of Thrones,tv show,False,Basque,Latn,eu
Euskal Herriko Prozesio Nagusia,Basque Country's Main Procession,event,True,Basque,Latn,eu
The Legend of Zelda,The Legend of Zelda,video game,False,Basque,Latn,eu
Ipurbeltz,The Blacklist,tv show,False,Basque,Latn,eu
Star Wars,Star Wars,movies,False,Basque,Latn,eu
Лембарджыні Кашаўцы,The Jungle Book,books,False,Belarusian,Cyrl,be-tarask
Уладар Пярсіі,The Lord of the Rings,books,False,Belarusian,Cyrl,be-tarask
Убойная сила,Deadly Class,tv show,False,Belarusian,Cyrl,be-tarask
Прызрак у броні,Ghost in the Shell,movie,False,Belarusian,Cyrl,be-tarask
Чорны лебедзь,Black Swan,movie,False,Belarusian,Cyrl,be-tarask
Бесканечнасць,Infinity,books,True,Belarusian,Cyrl,be-tarask
Бяспечныя чароўнікі,The Safe Magicians,books,True,Belarusian,Cyrl,be-tarask
Марсіянін,The Martian,movie,False,Belarusian,Cyrl,be-tarask
Штурмаваліце,Stormcallers,video game,True,Belarusian,Cyrl,be-tarask
Раджна 2,Rajna 2,video game,False,Belarusian,Cyrl,be-tarask
Трывіял Пурсуіт,Trivial Pursuit,video game,False,Belarusian,Cyrl,be-tarask
Махаон,Butterfly,tv show,True,Belarusian,Cyrl,be-tarask
Пеўным ходам,By the Rules,books,True,Belarusian,Cyrl,be-tarask
"З Любоўю, Саймана","With Love, Simon",movie,False,Belarusian,Cyrl,be-tarask
Адзін сеанс любові,One Love Session,movie,True,Belarusian,Cyrl,be-tarask
Останні маг,The Last Mage,books,True,Belarusian,Cyrl,be-tarask
Вершакі тэрмінатара,Terminator: The Sarah Connor Chronicles,tv show,False,Belarusian,Cyrl,be-tarask
Шпагат сярод распаўсюджваных зорак,Stranger among familiar stars,books,True,Belarusian,Cyrl,be-tarask
Вяртанне ў Эдэм,Return to Eden,tv show,False,Belarusian,Cyrl,be-tarask
Танцавальная зорка,Dancing Star,tv show,True,Belarusian,Cyrl,be-tarask
Місія лёталішча,Airplane!,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Тры беларускія дзяўчыны,Three Belarusian Girls,tv shows,True,Belarusian (Narkamaŭka),Cyrl,be
Гульня прэставіцеля мардзіньга,Assassin's Creed,video games,False,Belarusian (Narkamaŭka),Cyrl,be
Шерлок,Sherlock,tv shows,False,Belarusian (Narkamaŭka),Cyrl,be
Адсека,Twilight,books,False,Belarusian (Narkamaŭka),Cyrl,be
Владар пярсцёнкаў,The Lord of the Rings,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Крэсныя смерці,Red Dead Redemption,video games,False,Belarusian (Narkamaŭka),Cyrl,be
Тайнае акенцячце,The Secret Circle,tv shows,False,Belarusian (Narkamaŭka),Cyrl,be
Одзін панёс,The Lone Ranger,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Кароль аранжыры свежага цвету,The Fault in Our Stars,books,False,Belarusian (Narkamaŭka),Cyrl,be
Гарры Потэр,Harry Potter,books,False,Belarusian (Narkamaŭka),Cyrl,be
Індзейцы Дзяўчынаў,The Indian in the Cupboard,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Памёрлімі рыцары,Dead Space,video games,False,Belarusian (Narkamaŭka),Cyrl,be
Пярэвярненні,The Turn,books,False,Belarusian (Narkamaŭka),Cyrl,be
Ластоўскіга плота,The Crow,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Асяродак зымовай войны,The Long Winter,books,False,Belarusian (Narkamaŭka),Cyrl,be
Блізкае сустрэчы трэцяга віда,Close Encounters of the Third Kind,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Акіра,Akira,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Тармаган падзямеліць,Groundhog Day,movies,False,Belarusian (Narkamaŭka),Cyrl,be
Шпіон,The Spy,tv shows,False,Belarusian (Narkamaŭka),Cyrl,be
ফ্রিং,Friends,tv show,False,Bengali,Beng,bn
হ্যারি পটার,Harry Potter,book,False,Bengali,Beng,bn
পটামান,Batman,comic,False,Bengali,Beng,bn
লারা ক্রোফট,Lara Croft,video game,False,Bengali,Beng,bn
আয়নী বাজি,The Matrix,movie,False,Bengali,Beng,bn
শোলা ও শবনাম,Sholay,movie,True,Bengali,Beng,bn
হ্যামলেট,Hamlet,play,False,Bengali,Beng,bn
গোল্প কপাল,Golpo Holeo Shotti,movie,True,Bengali,Beng,bn
যেখানের বিকেল,Breaking Bad,tv show,False,Bengali,Beng,bn
জলচর,Aquaman,movie,False,Bengali,Beng,bn
Shrek,Shrek,movies,False,Bosnian,Latn,bs
Mortal Kombat,Mortal Kombat,video games,False,Bosnian,Latn,bs
Černobilj,Chernobyl,tv shows,False,Bosnian,Latn,bs
Assassin's Creed,Assassin's Creed,video games,False,Bosnian,Latn,bs
Pedeset nijansi sive,Fifty Shades of Grey,books,False,Bosnian,Latn,bs
Dnevnik Anne Frank,The Diary of Anne Frank,books,False,Bosnian,Latn,bs
The Witcher,The Witcher,books,False,Bosnian,Latn,bs
Bioskop Balkan,Balkan Cinema,movies,True,Bosnian,Latn,bs
Larin izbor,Lara's Choice,tv shows,True,Bosnian,Latn,bs
"Muškarci s Marsa, žene s Venere","Men Are from Mars, Women Are from Venus",books,False,Bosnian,Latn,bs
Prijatelji,Friends,tv shows,False,Bosnian,Latn,bs
Muški svijet,Male World,movies,True,Bosnian,Latn,bs
FIFA,FIFA,video games,False,Bosnian,Latn,bs
Bosanskohercegovački epos,Bosnian-Herzegovinian Epos,books,True,Bosnian,Latn,bs
Igra prijestolja,Game of Thrones,tv shows,False,Bosnian,Latn,bs
Stranger Things,Stranger Things,tv shows,False,Bosnian,Latn,bs
GTA,Grand Theft Auto,video games,False,Bosnian,Latn,bs
Gospodar prstenova,The Lord of the Rings,books,False,Bosnian,Latn,bs
Harry Potter,Harry Potter,books,False,Bosnian,Latn,bs
Porodica Soprano,The Sopranos,tv shows,False,Bosnian,Latn,bs
Emglev Bro an Oriant,Lorient Country Festival,music festival,True,Breton,Latn,br
Liamm Breizh,Voice of Brittany,music album,True,Breton,Latn,br
Ar brezoneg e zaloneg,Breton in Isolation,tv show,True,Breton,Latn,br
Alan Stivell,Alan Stivell,music artist,True,Breton,Latn,br
Dastum 2,Dastum 2,music album,True,Breton,Latn,br
Malban,Malban,video game,True,Breton,Latn,br
Merlin,Merlin,tv show,False,Breton,Latn,br
Harry Potter,Harry Potter,book,False,Breton,Latn,br
Lewys Ar Sez,The Witcher,book,False,Breton,Latn,br
Star Wars,Star Wars,movie,False,Breton,Latn,br
Kuzul Ar brezonegerien New York,Council of Breton New York,tv show,True,Breton,Latn,br
Mabinogi,Mabinogi,video game,False,Breton,Latn,br
Assassin's Creed,Assassin's Creed,video game,False,Breton,Latn,br
Poldark,Poldark,tv show,False,Breton,Latn,br
Breizh 5:00,Breizh 5:00,tv show,True,Breton,Latn,br
Marvik Ha Berc'hed,Marvik and the Pirates,book,True,Breton,Latn,br
Bretagne Express,Bretagne Express,tv show,True,Breton,Latn,br
Becassine,Bécassine,comic,True,Breton,Latn,br
Brezhonegerien e Bro-C'hall,Bretons Abroad,tv show,True,Breton,Latn,br
La casa de papel,Money Heist,tv show,False,Breton,Latn,br
Мечтателите,The Dreamers,movies,True,Bulgarian,Cyrl,bg
Лош съсед,Bad Neighbour,books,True,Bulgarian,Cyrl,bg
Звездни войни,Star Wars,movies,False,Bulgarian,Cyrl,bg
Фършелъс,Furchester,tv shows,False,Bulgarian,Cyrl,bg
Под прикритие,Undercover,tv shows,True,Bulgarian,Cyrl,bg
Господари на ефира,Masters of the Airwaves,tv shows,True,Bulgarian,Cyrl,bg
Хари Потър,Harry Potter,books,False,Bulgarian,Cyrl,bg
Игра на тронове,Game of Thrones,tv shows,False,Bulgarian,Cyrl,bg
Пирати от Карибския морски бряг,Pirates of the Caribbean,movies,False,Bulgarian,Cyrl,bg
Фортнайт,Fortnite,video games,False,Bulgarian,Cyrl,bg
Дневниците на Вампира,The Vampire Diaries,tv shows,False,Bulgarian,Cyrl,bg
Американска история на ужасите,American Horror Story,tv shows,False,Bulgarian,Cyrl,bg
Бързи и яростни,Fast and Furious,movies,False,Bulgarian,Cyrl,bg
Тютюн,Tobacco,books,True,Bulgarian,Cyrl,bg
Стъклен дом,The Glass House,movies,True,Bulgarian,Cyrl,bg
Смешният доктор,The Funny Doctor,tv shows,True,Bulgarian,Cyrl,bg
Калина княгиня,Kalina Princess,books,True,Bulgarian,Cyrl,bg
Под игото,Under the Yoke,books,True,Bulgarian,Cyrl,bg
Под едно небе,Under One Roof,tv shows,True,Bulgarian,Cyrl,bg
Иван Вазов,Ivan Vazov,books,True,Bulgarian,Cyrl,bg
အဓိဓင်စရ,The Avengers,movies,False,Burmese,Mymr,my
ကွန်မြျ-ဝီလိတံဆက်ဟင-title,Avengers: Endgame,movies,False,Burmese,Mymr,my
လကအလဒိခရေ,Star Wars,movies,False,Burmese,Mymr,my
ပါသြ်သြူ်ချျုပ်,Frozen,movies,False,Burmese,Mymr,my
သတင်္ကတေ့သေြ္လ,Tangled,movies,False,Burmese,Mymr,my
အရှက် တှရထာပေဖျင်ရြည်နိဂြေွငဂညေ,Raya and the Last Dragon,movies,False,Burmese,Mymr,my
ဟင်းချက်တစ်ခြားရီးယား,Harry Potter,books,False,Burmese,Mymr,my
အခါတုန်နှင့်ကောင်အုပ်ချုပ်,Batman and Robin,comics,False,Burmese,Mymr,my
သြစသတင်ဘုရားအသက်ခင်္သါ,Shrek,movies,False,Burmese,Mymr,my
သံဘဝိ,Doraemon,tv shows,False,Burmese,Mymr,my
လြိုင်သော ရှဒီယို,Lord of the Rings,books,False,Burmese,Mymr,my
ဝေးခေတ်,Witcher,video games,False,Burmese,Mymr,my
ဆိုးကားခဗော်,Avengers,movies,False,Burmese,Mymr,my
အလယ်ပင်ဘာရီက်,Avatar: The Last Airbender,tv shows,False,Burmese,Mymr,my
တူသားမ,Tomb Raider,video games,False,Burmese,Mymr,my
ဆိုင်သော မျိုးနွေသတင်းရီးယား,Black Panther,movies,False,Burmese,Mymr,my
မာည်းချောနေရတိုက်တည်သုံ,The Hunger Games,books,False,Burmese,Mymr,my
ယင်းမချုပ်,Iron Man,comics,False,Burmese,Mymr,my
စလွယ်တကြက်နေလှန်,The Maze Runner,books,False,Burmese,Mymr,my
အဆုံးတင်၏ ခြေသေ့ခြောဌါတစ်ပြီ၊ ဒဒါည့်ခြေးနှင့်တစ်ပြီးတိရစဉ်ဂ,Alice's Adventures in Wonderland,books,False,Burmese,Mymr,my
武媚娘传奇,The Empress of China,tv show,True,Cantonese,Hant,zh-yue
射雕英雄传,The Legend of the Condor Heroes,tv show,True,Cantonese,Hant,zh-yue
创世纪,The Genesis Code,tv show,False,Cantonese,Hant,zh-yue
封神传奇,The Investiture of the Gods,tv show,True,Cantonese,Hant,zh-yue
哈利波特,Harry Potter,book,False,Cantonese,Hant,zh-yue
刀背藏身,"Crouching Tiger, Hidden Dragon",movie,True,Cantonese,Hant,zh-yue
西游记,Journey to the West,book,True,Cantonese,Hant,zh-yue
聊斋,Strange Stories from a Chinese Studio,book,True,Cantonese,Hant,zh-yue
龍虎門,Enter the Dragon,movie,False,Cantonese,Hant,zh-yue
東成西就,From Beijing with Love,movie,True,Cantonese,Hant,zh-yue
白蛇传,The Legend of the White Snake,tv show,True,Cantonese,Hant,zh-yue
冰雪奇缘,Frozen,movie,False,Cantonese,Hant,zh-yue
新神榜：哪吒重生,Ne Zha,movie,True,Cantonese,Hant,zh-yue
星際大戰,Star Wars,movie,False,Cantonese,Hant,zh-yue
口水嬲,Kung Fu Hustle,movie,True,Cantonese,Hant,zh-yue
王牌大律師,The Good Wife,tv show,False,Cantonese,Hant,zh-yue
武林外傳,Kung Fu Panda,movie,True,Cantonese,Hant,zh-yue
刺客聶隱娘,The Assassin,movie,True,Cantonese,Hant,zh-yue
金庸群俠傳,The Condor Heroes,tv show,True,Cantonese,Hant,zh-yue
暗杀,Assassination,movie,True,Cantonese,Hant,zh-yue
Friends,Friends,tv shows,False,Catalan,Latn,ca
La Catedral de Sevilla,Seville Cathedral,landmarks,True,Catalan,Latn,ca
Sagrada Familia,Sagrada Familia,landmarks,True,Catalan,Latn,ca
Doctor Who,Doctor Who,tv shows,False,Catalan,Latn,ca
Assassin's Creed,Assassin's Creed,video games,False,Catalan,Latn,ca
Paella,Paella,dishes,True,Catalan,Latn,ca
Gaudí,Gaudí,artists,True,Catalan,Latn,ca
El laberinto del fauno,Pan's Labyrinth,movies,True,Catalan,Latn,ca
Game of Thrones,Game of Thrones,tv shows,False,Catalan,Latn,ca
La Catedral de Barcelona,Barcelona Cathedral,landmarks,True,Catalan,Latn,ca
Assassin's Creed,Assassin's Creed,video games,False,Catalan,Latn,ca
