Question,Answer,Class
"If I forget my VBV/MSC  password, how do I retrieve the same","If you have forgotten your password, Click on Forgot password on Netsafe login page. Authenticate your identity after entering your Credit/Debit Card number, Card Expiry Date and ATM PIN (or CVV2 and Date of birth for Credit Cards, along with your mobile number and email id). Once the details are validated One time password will be sent to your email id and mobile no, using this permanent password can be set. You can also reset your password while transacting, click on Forgot password on the secure password page Authenticate your identity after entering your Credit/Debit Card number, Card Expiry Date and ATM PIN (or CVV2 and Date of birth for Credit Cards, along with your mobile number and email id). Once the details are validated One time password will be sent to your email id and mobile no, using this permanent password can be set.",security
"While trying to register my card, I am getting the error message stating mobile no. mismatch, what could be the reason","Please enter the mobile no you have updated in our system, In case there is a change in the number, Please contact our Customer Care Center and update the same.",security
On which email id will I receive the OTP for Credit card registration or for password reset,"If there are 2 email ids updated in our system, OTP will be sent to both the email ids. However, only one of them is required for validation during registration / password reset.",security
"While trying to register I am getting error message Card already enrolled , what should I do","Your card is already registered for Verified by Visa / MasterCard SecureCode, you don't have to re-register your card. In case you don't remember your password, please click on forgot password on the Netsafe login page or on the secure page while transacting and you can reset your password.",security
I don't remember my Verified by Visa / MasterCard Securecode login Id,"You can use your Credit/Debit card number as your login id. The login id is required only to login to Netsafe, you don't require the login id for doing online transactions.",security
Where do I find the CVV2,CVV2 is three digit number mentioned at reverse of your card.,security
"I am unable to transact online as my card is de-registered status, how do I re-register my card","You have to login to NetSafe on the HDFC bank website using your login id & Verified by Visa/ MasterCard SecureCode password. Once you login to Netsafe click on reregister cards, enter your date of birth and CVV2 and post that the card will be reregistered. You can now use the card for online transaction.",security
Is there a fee to register for Verified by Visa / MasterCard Securecode,"The service is free, There is no additional charges for using the service.",security
What steps should I take to ensure that my VBV / MSC Password is strong and difficult to guess,"Avoid using a password that is easy to guess, also avoid using a password that you have already used elsewhere. Password should be something that is easy for you to remember but difficult for anyone else to guess. Never share your password with others. You may even choose to change your password periodically.It is your responsibility to protect your VBV / MSC Password.",security
Can I set my Personal Assurance Message to be the same as my VBV / MSC Password,"Your Personal Assurance Message and your VBV / MSC Password must not be the same, to ensure your security.",security
What happens if I try to make a purchase at a merchant that doesn't participate in the Verified by Visa / MasterCard Securecode service,"You will not be prompted to enter your for Verified by Visa / MasterCard Securecode password on these websites.By shopping at websites participating Verified by Visa / MasterCard Securecode merchants, you have the extra layer of security as the transactions are authenticated using your Verified by Visa / MasterCard Securecode password.",security
Can I get the benefit of Verified by Visa/ MasterCard SecureCode security at online stores that are not participating in the service,"No. you can only get the benefits of Verified by Visa/ MasterCard SecureCode at the participating online stores. However a number of online stores have the service available to them. In the meantime, if an online stores you trust is not yet participating; you can perform the transaction using NetSafe. Click here to know more. View more",security
What security do I need to provide to obtain a Business loan,"To obtain the loan, there is absolutely no need to provide any security or collateral.",loans
What are the benefits of having a Current/Saving Account for my Business loan,"You get preferred Processing Fee, priority processing and simpler documentation if you have a Current/Saving Account with HDFC Bank. This is taken into account at the time of disbursal of the loan. You can pay through Standing Instructions to debit your HDFC Bank Account with the EMI amount.",loans
How long will it take for me to get a Business Loan,"Once you submit your application form and supporting documents, we shall give approval within 5 working days provided everything is in order. All loan approvals are at the sole discretion of the bank.",loans
Can I repay the loan earlier for Business Loan,"Yes, you can choose to repay your loan anytime after 6 months of taking the loan and after you have paid 06 EMIs along with applicable foreclosure charges. Please note Loan can be foreclosed by issuing a Demand draft / cheque at the branch; kindly note that cash beyond Rs. 49000/- will not be accepted for loan repayment against full closure/matured loan closure payment. Any payment above Rs. 49000/- should be made vide Account payee Cheque / Pay order /Demand draft.",loans
How can I get my address changed in my loan account,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",loans
What will be done with the post dated cheques if I request to change the mode of repayment/ account for my loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.hdfcbank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",loans
What are the charges I have to pay to change the mode of repayment/ account for my loan,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-HDFC Bank Account (ECS or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring “HDFC Bank Ltd Loan Account No. << >>” will be required along with the revised set of repayment instructions.,loans
How can I change the mode of repayment/ account for my loan,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center: Request form for swap of repayment instructions. 3 Security cheques favoring HDFC Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by HDFC Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-HDFC Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center: Request form for swap of repayment instructions. Security cheques favoring HDFC Bank Ltd Loan Account No. << >>*** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest Retail Loan Service Center: Request form for swap of repayment instructions Revised post dated cheques in favour of HDFC Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
How do I obtain a Duplicate Repayment Schedule for my loan account,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.hdfcbank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided",loans
How much loan can I avail of Business Loan,"You can avail of a loan from Rs 50,000/- to Rs 50,00,000/- depending on your income, repayment capacity and respective location product cap.",loans
How do I repay my Business Loan,You pay the loan in equal monthly instalments (EMIs). The loan will be paid through post-dated cheques. You can also pay through Electronic Clearing System (ECS ) or a standing instruction to debit your HDFC Bank account with the EMI amount,loans
What are the loan tenure options for Business Loan,You can repay your loan over a period of 12 to 48 months,loans
Do I need to pledge anything or give collateral to get a car loan,"No, there’s no need for any collateral. You will only need you to hypothecate the car in our name. An endorsement will have to be made in the Registration Certificate (RC) book of the vehicle. This will be cancelled after you repay the loan.",loans
How long can the tenure of my loan be,"Usually the tenure of an Auto Loan is 3 to 7 years. The tenure also depends on the type of car you wish to purchase. If it is a super premium car the tenure is restricted to 3 years only. In addition, the higher your tenure is the lower your EMI will be, but the total interest outflow is higher.",loans
What documents do I need to submit after the loan amount is disbursed,"You can keep the original car documents, registration certificate, insurance policy and tax papers with you; but you need to submit photocopies of these documents to the bank.",loans
What happens if the car meets with an accident,"In the event of an accident, the first step is to inform the insurance company. The company then sends a surveyor to assess the extent of damages to the car. Your claim is then processed and paid directly to us, unless you have taken an NOC from the bank in which case the payment will be made by the insurance company in your favour. The bank normally gives you an NOC if you are regular in your payments. In case of a complete loss, the bank will receive the payment directly from the insurance company.",loans
Can I get finance for insurance and registration,No. The ex-showroom price is considered which does not cover insurance and registration charges.,loans
How much loan can I get,The amount of the loan you can get depends on: The cost of the vehicle The type of vehicle (standard/premium) The percentage of finance offered,loans
Can I sell my car before I repay my loan,"No, you cannot sell your car unless you repay your loan. An NOC is required from the financier before you can sell your car.",loans
How much time will it take to change the mode of repayment/ account to repay my loan,"It will take 25 working days to activate the revised instructions. In case your next instalment falls due prior to the 25 day period, instructions already lodged with us will be presented for payment.",loans
What is De-pledge,Removal of a pledge from the security to regain the rights over the security is called de-pledge. *Conditions Apply,loans
What is Guarantor,A Guarantor is a person who guarantees to pay for someone else's debt if he or she should default on a loan obligation.,loans
What is Amortization,Amortization is paying off debts in regular instalments over a period of time.,loans
What is Pledge,A right over the security is created in favour of HDFC Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,loans
What is RTGS,"RTGS is the Real Time Gross Settlement which is used for the transfer of amounts of Rs. 1,00,000 or more from one bank account to another bank account (any bank located anywhere in India if attached with an Internet system) at very minimal charges. The amount is credited into the beneficiary's account in real time. For amounts less than Rs. 1,00,000 we use NEFT( National Electronic Fund Transfer).",loans
What is NEFT,The National Electronic Funds Transfer (NEFT) system is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.,loans
What is SI,"SI stands for Standing Instructions. It is one of the modes you can use to repay a loan, wherein your HDFC Bank account is directly debited for the EMI amounts, based on your specific instructions in the form of the Standing Instructions Mandate.",loans
What is CIBIL,"CIBIL stands for Credit Information Bureau India Limited. CIBIL's aim is to fulfil the need of credit granting institutions for comprehensive credit information by collecting, collating and disseminating credit information pertaining to both commercial and consumer borrowers, to a closed user group of members. Banks, Financial Institutions, Non-Banking Financial Companies, Housing Finance Companies and Credit Card Companies use CIBIL's services. Data sharing is based on the Principle of Reciprocity, which means that only Members who have submitted all their credit data may access Credit Information Reports from CIBIL. The establishment of CIBIL is an effort made by the Government of India and the Reserve Bank of India to improve the functionality and stability of the Indian financial system by containing NPAs while improving credit grantors' portfolio quality. CIBIL provides a vital service, which allows its Members to make informed, objective and faster credit decisions. View more",loans
Which documents should I carry at the time of visiting HDFC bank,"You need to carry an Agreement Number, Self-attested Identification Proof containing your signature to avail of any information / deliverable along with a written request and produce the documents at the Customer Service Desk. If you want to change your address / contact details, you need to submit an address change request along with a Self-attested copy of your revised address proof. The Request form for Address Change is available on the Form Centre of HDFC Bank website. View more",loans
Who can resolve my queries,"For your queries related to Loans (other than home loans), please visit the nearest Retail Asset Branch. You can also write to us at www.hdfcbank.com/services with the following verification details or contact your nearest PhoneBanking officer: Loan account number Name of applicant / loan favouring Date of birth of the applicant (as provided in loan application form) Correspondence address Loan amount EMI amount Mode of repayment (standing instruction / ECS / post date cheques) Bank name and account number from which the EMIs are collected Query / Complain View more",loans
How do I obtain a NOC from the bank for fitting an LPG/CNG kit on my vehicle under finance with HDFC Bank,"You may obtain the NOC for fitting an LPG/CNG kit on your registered vehicle under finance with us by visiting any of our the Retail Loan Service Center and submitting the following documents: Request form for LPG/CNG NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring HDFC Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents (self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
How do I obtain a NOC from the bank for settling a partial loss Insurance Claim for a vehicle under finance with HDFC Bank,"You may obtain the NOC to settle the partial insurance claim in your favour, provided there are no outstandings to your loan account, by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Original Insurance Policy (will be returned back to you at the centre, post validation). Copy of the Insurance Policy, duly self attested by you. Claim Voucher provided by Insurance Company Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring HDFC Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. Note, for Total Loss, Claims will be settled in favour of the Bank to close the loan based on the Loan Pre-Termination Statement as on the date of request and in case of any excess claim received from the Insurance Company, a refund will be made favouring the customer. View more",loans
How can I get my address changed in my loan account,"In order to change your address in our records, we request you to visit the Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",loans
How do I obtain a NOC from the bank if my Registration Certificate is mutilated and  I wish to apply for a duplicate Registration Certificate book for a vehicle under finance with HDFC Bank,"You may obtain the NOC for a duplicate Registration Certificate book for the said purpose by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500//- vide a cheque/payorder/demand draft favouring HDFC Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
How do I obtain a NOC from the bank if I have lost my Registration Certificate book for a vehicle under finance with HDFC Bank,"You may obtain the NOC for a duplicate Registration Certificate book for your vehicle loan, by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Self attested copy of the Registration Certificate book, duly self attested by you for validation. Copy of FIR or certificate from police or Acknowledgement from Police on written complaint with General Diary No. Applicable fee of Rs. 500//- vide a cheque/payorder/demand draft favouring HDFC Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",loans
How do I obtain a Duplicate Repayment Schedule for my loan account,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.hdfcbank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring HDFC Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided View more",loans
What will be done with the post dated cheques if I request to change the mode of repayment/account for my loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.hdfcbank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",loans
How do I obtain a duplicate NOC/Form 35 for a vehicle loan that has been closed and fully repaid,"You may obtain a duplicate NOC/Form 35 for your vehicle by visiting any of our the Retail Loan Service Center and submit the following documents: Request form for Duplicate NOC/Form 35. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring “HDFC Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. Please note that the Loan Closure NOC/Form 35 will not be issued if any of the following conditions apply: Copy of RC Book is not submitted The same vehicle is encumbered to the Bank for any other loan facility Any notice from a competent authority restraining the Bank from release of hypothecation If there are any existing over dues, direct or otherwise, in your name View more",loans
