Rank,Country,Population2023,YearlyChange,NetChange,Density(P/Km²),Land Area(Km²),Migrants(net),Fert.Rate,MedianAge,UrbanPop%,WorldShare
110,Bulgaria,6687717,-1.39 %,-94236,62,108560,-4800,1.6,45,78 %,0.08 %
59,Burkina Faso,23251485,2.55 %,577723,85,273600,-24998,4.6,17,32 %,0.29 %
78,Burundi,13238559,2.71 %,348983,516,25680,2000,4.9,16,15 %,0.16 %
171,Cabo Verde,598682,0.93 %,5533,149,4030,-1227,1.9,27,67 %,0.01 %
73,Cambodia,16944826,1.06 %,176984,96,176520,-29998,2.3,27,26 %,0.21 %
53,Cameroon,28647293,2.63 %,732757,61,472710,-4800,4.3,18,58 %,0.36 %
38,Canada,38781291,0.85 %,326964,4,9093510,249746,1.5,41,81 %,0.48 %
220,Caribbean Netherlands,27148,0.45 %,122,83,328,100,1.6,40,74 %,0.00 %
204,Cayman Islands,69310,0.88 %,604,289,240,400,1.2,38,95 %,0.00 %
117,Central African Republic,5742315,2.92 %,163171,9,622980,-14716,5.8,15,40 %,0.07 %
67,Chad,18278568,3.13 %,555253,15,1259200,-2000,6.1,15,24 %,0.23 %
65,Chile,19629590,0.13 %,25857,26,743532,-71205,1.5,36,85 %,0.24 %
2,China,1425671352,-0.02 %,-215985,152,9388211,-310220,1.2,39,65 %,17.72 %
28,Colombia,52085168,0.41 %,211144,47,1109500,-175051,1.7,32,81 %,0.65 %
163,Comoros,852075,1.83 %,15301,458,1861,-2000,3.8,20,33 %,0.01 %
113,Congo,6106869,2.29 %,136445,18,341500,-1000,4,18,70 %,0.08 %
222,Cook Islands,17044,0.19 %,33,71,240,-93,2.2,33,79 %,0.00 %
124,Costa Rica,5212173,0.60 %,31344,102,51060,3750,1.5,34,82 %,0.06 %
130,Croatia,4008617,-0.54 %,-21741,72,55960,-2000,1.4,44,59 %,0.05 %
85,Cuba,11194449,-0.16 %,-17742,105,106440,-6000,1.5,41,80 %,0.14 %
190,Curaçao,192077,0.48 %,914,433,444,515,1.6,36,77 %,0.00 %
158,Cyprus,1260138,0.69 %,8650,136,9240,5000,1.3,39,65 %,0.02 %
89,Czech Republic (Czechia),10495295,0.01 %,1309,136,77240,22011,1.7,43,75 %,0.13 %
51,Côte d'Ivoire,28873034,2.53 %,712492,91,318000,6000,4.3,18,52 %,0.36 %
115,Denmark,5910913,0.49 %,28652,139,42430,19999,1.7,41,88 %,0.07 %
160,Djibouti,1136455,1.39 %,15606,49,23180,900,2.7,24,72 %,0.01 %
203,Dominica,73040,0.42 %,303,97,750,-40,1.6,32,75 %,0.00 %
84,Dominican Republic,11332972,0.93 %,104151,235,48320,-29099,2.2,28,85 %,0.14 %
15,DR Congo,102262808,3.29 %,3252596,45,2267050,-14999,6.1,16,46 %,1.27 %
68,Ecuador,18190484,1.05 %,189484,73,248360,-21525,2,28,64 %,0.23 %
14,Egypt,112716598,1.56 %,1726495,113,995450,-29998,2.8,24,41 %,1.40 %
112,El Salvador,6364943,0.45 %,28551,307,20720,-23249,1.8,27,78 %,0.08 %
152,Equatorial Guinea,1714671,2.37 %,39763,61,28050,4000,4.1,21,67 %,0.02 %
131,Eritrea,3748901,1.76 %,64869,37,101000,-15297,3.7,19,67 %,0.05 %
156,Estonia,1322765,-0.25 %,-3297,31,42390,-1000,1.7,42,68 %,0.02 %
159,Eswatini,1210822,0.76 %,9152,70,17200,-5268,2.8,22,31 %,0.02 %
11,Ethiopia,126527060,2.55 %,3147136,127,1000000,-11999,4,19,22 %,1.57 %
207,Faeroe Islands,53270,0.34 %,180,38,1396,0,2.7,38,41 %,0.00 %
231,Falkland Islands,3791,0.29 %,11,0,12170,0,1.6,40,62 %,0.00 %
162,Fiji,936375,0.71 %,6609,51,18270,-3289,2.4,27,59 %,0.01 %
118,Finland,5545475,0.09 %,4730,18,303890,13999,1.4,43,87 %,0.07 %
23,France,64756584,0.20 %,129956,118,547557,67761,1.8,42,84 %,0.80 %
184,French Guiana,312155,2.49 %,7598,4,82200,1200,3.4,24,90 %,0.00 %
185,French Polynesia,308872,0.85 %,2593,84,3660,-100,1.7,34,59 %,0.00 %
146,Gabon,2436566,1.99 %,47574,9,257670,1000,3.4,22,85 %,0.03 %
141,Gambia,2773168,2.48 %,67176,274,10120,-3000,4.5,17,58 %,0.03 %
132,Georgia,3728282,-0.43 %,-16103,54,69490,-9999,2.1,37,63 %,0.05 %
19,Germany,83294633,-0.09 %,-75210,239,348560,155751,1.5,45,77 %,1.04 %
47,Ghana,34121985,1.93 %,646115,150,227540,-9999,3.5,21,57 %,0.42 %
217,Gibraltar,32688,0.12 %,39,3269,10,-24,1.8,42,N.A.,0.00 %
91,Greece,10341277,-0.42 %,-43694,80,128900,5000,1.4,45,86 %,0.13 %
206,Greenland,56643,0.31 %,177,0,410450,-100,1.9,35,89 %,0.00 %
194,Grenada,126183,0.59 %,745,371,340,-200,2,32,32 %,0.00 %
179,Guadeloupe,395839,0.02 %,87,234,1690,-800,2,42,N.A.,0.00 %
192,Guam,172952,0.69 %,1178,320,540,-500,2.5,30,95 %,0.00 %
70,Guatemala,18092026,1.39 %,248118,169,107160,-9110,2.3,23,55 %,0.22 %
75,Guinea,14190612,2.39 %,331271,58,245720,-4000,4.2,18,40 %,0.18 %
148,Guinea-Bissau,2150842,2.15 %,45276,76,28120,-1400,3.8,19,45 %,0.03 %
164,Guyana,813834,0.63 %,5108,4,196850,-3900,2.3,26,27 %,0.01 %
81,Haiti,11724763,1.21 %,139767,425,27560,-31811,2.7,23,60 %,0.15 %
234,Holy See,518,1.57 %,8,1295,0,0,,,N.A.,0.00 %
88,Honduras,10593798,1.54 %,160938,95,111890,-5034,2.3,24,58 %,0.13 %
104,Hong Kong,7491609,0.04 %,2744,7135,1050,19999,0.8,46,N.A.,0.09 %
94,Hungary,10156239,1.90 %,188931,112,90530,-156677,1.6,42,68 %,0.13 %
180,Iceland,375318,0.65 %,2419,4,100250,380,1.7,36,88 %,0.00 %
1,India,1428627663,0.81 %,11454490,481,2973190,-486136,2,28,36 %,17.76 %
4,Indonesia,277534122,0.74 %,2032783,153,1811570,-49997,2.1,30,59 %,3.45 %
17,Iran,89172767,0.70 %,622197,55,1628550,-39998,1.7,33,74 %,1.11 %
35,Iraq,45504560,2.27 %,1008438,105,434320,-6000,3.4,20,71 %,0.57 %
125,Ireland,5056935,0.67 %,33826,73,68890,9999,1.8,38,64 %,0.06 %
201,Isle of Man,84710,0.23 %,191,149,570,340,1.6,46,55 %,0.00 %
98,Israel,9174520,1.51 %,136211,424,21640,9999,2.9,29,92 %,0.11 %
25,Italy,58870762,-0.28 %,-166712,200,294140,58496,1.3,48,72 %,0.73 %
139,Jamaica,2825544,-0.06 %,-1833,261,10830,-10999,1.3,32,59 %,0.04 %
12,Japan,123294513,-0.53 %,-657179,338,364555,99994,1.3,49,94 %,1.53 %
83,Jordan,11337052,0.45 %,51183,128,88780,-157392,2.7,24,85 %,0.14 %
66,Kazakhstan,19606633,1.08 %,208635,7,2699700,0,3,30,57 %,0.24 %
26,Kenya,55100586,1.99 %,1073099,97,569140,-10000,3.2,20,31 %,0.68 %
193,Kiribati,133515,1.74 %,2283,165,810,-400,3.2,22,56 %,0.00 %
129,Kuwait,4310108,0.97 %,41235,242,17820,11999,2.1,40,N.A.,0.05 %
109,Kyrgyzstan,6735347,1.58 %,104724,35,191800,-9999,2.9,24,37 %,0.08 %
103,Laos,7633779,1.39 %,104304,33,230800,-9999,2.4,24,37 %,0.09 %
151,Latvia,1830211,-1.10 %,-20440,29,62200,-7630,1.6,44,69 %,0.02 %
122,Lebanon,5353930,-2.47 %,-135809,523,10230,-177331,2.1,29,97 %,0.07 %
147,Lesotho,2330318,1.06 %,24493,77,30360,-4000,2.9,22,31 %,0.03 %
120,Liberia,5418377,2.18 %,115696,56,96320,-5000,4,18,54 %,0.07 %
107,Libya,6888388,1.12 %,76047,4,1759540,-2000,2.4,27,82 %,0.09 %
214,Liechtenstein,39584,0.65 %,257,247,160,150,1.5,44,15 %,0.00 %
142,Lithuania,2718352,-1.15 %,-31703,43,62674,-13128,1.6,44,71 %,0.03 %
168,Luxembourg,654768,1.11 %,7169,253,2590,4883,1.4,39,88 %,0.01 %
167,Macao,704149,1.29 %,8981,23472,30,5000,1.1,39,97 %,0.01 %
50,Madagascar,30325732,2.41 %,714018,52,581795,-1500,3.7,19,40 %,0.38 %
62,Malawi,20931751,2.58 %,526434,222,94280,-6000,3.8,17,19 %,0.26 %
46,Malaysia,34308525,1.09 %,370304,104,328550,48997,1.8,31,78 %,0.43 %
175,Maldives,521021,-0.53 %,-2766,1737,300,-8652,1.7,32,39 %,0.01 %
58,Mali,23293698,3.10 %,700108,19,1220190,-39998,5.8,15,44 %,0.29 %
174,Malta,535064,0.33 %,1778,1672,320,850,1.2,40,78 %,0.01 %
213,Marshall Islands,41996,1.03 %,427,233,180,0,2.6,26,N.A.,0.00 %
181,Martinique,366981,-0.14 %,-526,346,1060,-650,1.9,47,94 %,0.00 %
126,Mauritania,4862989,2.68 %,126850,5,1030700,3000,4.3,18,61 %,0.06 %
157,Mauritius,1300557,0.08 %,1088,641,2030,0,1.4,37,40 %,0.02 %
182,Mayotte,335995,3.03 %,9894,896,375,0,4.3,17,40 %,0.00 %
10,Mexico,128455567,0.75 %,951442,66,1943950,-50239,1.8,30,88 %,1.60 %
173,Micronesia,544321,0.98 %,5308,778,700,-1642,2.7,26,71 %,0.01 %
134,Moldova,3435931,4.98 %,162935,105,32850,-125204,1.8,35,50 %,0.04 %
215,Monaco,36297,-0.47 %,-172,24360,1,200,2.1,54,N.A.,0.00 %
133,Mongolia,3447157,1.44 %,48791,2,1553560,-850,2.7,27,67 %,0.04 %
169,Montenegro,626485,-0.10 %,-597,47,13450,-480,1.7,39,69 %,0.01 %
230,Montserrat,4386,-0.09 %,-4,44,100,0,1.6,44,11 %,0.00 %
39,Morocco,37840044,1.02 %,382073,85,446300,-39998,2.3,29,66 %,0.47 %
48,Mozambique,33897354,2.81 %,927836,43,786380,-5000,4.5,17,40 %,0.42 %
27,Myanmar,54577997,0.74 %,398691,84,653290,-34998,2.1,30,33 %,0.68 %
145,Namibia,2604172,1.45 %,37160,3,823290,-3916,3.2,21,60 %,0.03 %
224,Nauru,12780,0.88 %,112,639,20,-140,3.4,20,88 %,0.00 %
49,Nepal,30896590,1.14 %,349010,216,143350,-62012,2,24,22 %,0.38 %
72,Netherlands,17618299,0.31 %,54285,522,33720,29998,1.6,42,92 %,0.22 %
186,New Caledonia,292991,1.05 %,3041,16,18280,500,2,34,74 %,0.00 %
123,New Zealand,5228100,0.83 %,42812,20,263310,12999,1.8,37,82 %,0.06 %
106,Nicaragua,7046310,1.41 %,97918,59,120340,-8000,2.3,25,56 %,0.09 %
54,Niger,27202843,3.80 %,994866,21,1266700,1000,6.7,15,17 %,0.34 %
6,Nigeria,223804632,2.41 %,5263420,246,910770,-59996,5.1,17,54 %,2.78 %
232,Niue,1935,0.05 %,1,7,260,0,2.4,36,41 %,0.00 %
56,North Korea,26160821,0.35 %,91405,217,120410,-2000,1.8,36,63 %,0.33 %
150,North Macedonia,2085679,-0.38 %,-7920,83,25220,-1000,1.4,39,60 %,0.03 %
208,Northern Mariana Islands,49796,0.49 %,245,108,460,-50,2.1,38,N.A.,0.00 %
119,Norway,5474360,0.74 %,40041,15,365268,27998,1.5,40,86 %,0.07 %
127,Oman,4644384,1.49 %,68086,15,309500,0,2.5,29,N.A.,0.06 %
5,Pakistan,240485658,1.98 %,4660796,312,770880,-165988,3.3,21,35 %,2.99 %
221,Palau,18058,0.02 %,3,39,460,-20,2.3,36,N.A.,0.00 %
128,Panama,4468087,1.35 %,59506,60,74340,7262,2.3,29,70 %,0.06 %
92,Papua New Guinea,10329931,1.85 %,187312,23,452860,-800,3.1,22,12 %,0.13 %
108,Paraguay,6861524,1.19 %,80780,17,397300,-12499,2.4,26,67 %,0.09 %
45,Peru,34352719,0.89 %,303131,27,1280000,-61442,2.1,29,79 %,0.43 %
13,Philippines,117337368,1.54 %,1778359,394,298170,-69996,2.7,25,47 %,1.46 %
37,Poland,41026067,2.93 %,1168922,134,306230,-910475,1.5,40,55 %,0.51 %
93,Portugal,10247605,-0.23 %,-23260,112,91590,9999,1.4,46,67 %,0.13 %
136,Puerto Rico,3260314,0.24 %,7907,368,8870,19835,1.3,44,N.A.,0.04 %
143,Qatar,2716391,0.79 %,21269,234,11610,0,1.8,34,N.A.,0.03 %
64,Romania,19892812,1.19 %,233545,86,230170,-254616,1.7,41,53 %,0.25 %
9,Russia,144444359,-0.19 %,-268955,9,16376870,-136414,1.5,39,75 %,1.80 %
76,Rwanda,14094683,2.31 %,317985,571,24670,-8999,3.7,19,18 %,0.18 %
161,Réunion,981796,0.80 %,7744,393,2500,-630,2.2,34,93 %,0.01 %
227,Saint Barthelemy,10994,0.25 %,27,524,21,0,1,40,0 %,0.00 %
229,Saint Helena,5314,-1.12 %,-60,14,390,0,1.6,53,32 %,0.00 %
209,Saint Kitts & Nevis,47755,0.21 %,98,184,260,20,1.5,35,38 %,0.00 %
191,Saint Lucia,180251,0.22 %,394,295,610,0,1.4,34,19 %,0.00 %
218,Saint Martin,32077,0.90 %,286,605,53,0,2.4,39,0 %,0.00 %
228,Saint Pierre & Miquelon,5840,-0.38 %,-22,25,230,0,1.6,44,N.A.,0.00 %
189,Samoa,225681,1.48 %,3299,80,2830,-1500,3.8,21,16 %,0.00 %
216,San Marino,33642,-0.05 %,-18,561,60,100,1.1,47,99 %,0.00 %
188,Sao Tome & Principe,231856,1.97 %,4476,242,960,-600,3.7,19,77 %,0.00 %
40,Saudi Arabia,36947025,1.48 %,538205,17,2149690,28998,2.4,31,83 %,0.46 %
71,Senegal,17763163,2.58 %,446714,92,192530,-19999,4.3,18,52 %,0.22 %
105,Serbia,7149077,-1.00 %,-72288,82,87460,-9999,1.5,43,69 %,0.09 %
196,Seychelles,107660,0.51 %,542,234,460,-200,2.3,33,53 %,0.00 %
102,Sierra Leone,8791092,2.15 %,185374,122,72180,-4000,3.8,19,43 %,0.11 %
114,Singapore,6014723,0.65 %,39034,8592,700,26998,1,43,N.A.,0.07 %
211,Sint Maarten,44222,0.11 %,47,1301,34,0,1.6,48,97 %,0.00 %
116,Slovakia,5795199,2.69 %,151746,121,48088,-112067,1.6,40,51 %,0.07 %
149,Slovenia,2119675,-0.01 %,-169,105,20140,2000,1.6,44,55 %,0.03 %
166,Solomon Islands,740424,2.23 %,16151,26,27990,-1600,3.9,19,24 %,0.01 %
69,Somalia,18143378,3.10 %,545867,29,627340,-30000,6.1,15,46 %,0.23 %
24,South Africa,60414495,0.87 %,520610,50,1213090,58496,2.3,28,69 %,0.75 %
29,South Korea,51784059,-0.06 %,-31751,533,97230,29998,0.9,44,82 %,0.64 %
86,South Sudan,11088796,1.61 %,175632,18,610952,-23291,4.3,17,28 %,0.14 %
32,Spain,47519628,-0.08 %,-39002,95,498800,39998,1.3,45,80 %,0.59 %
61,Sri Lanka,21893579,0.28 %,61436,349,62710,-77495,2,33,19 %,0.27 %
198,St. Vincent & Grenadines,103698,-0.24 %,-250,266,390,-200,1.8,33,58 %,0.00 %
121,State of Palestine,5371230,2.31 %,121158,892,6020,-5000,3.4,20,83 %,0.07 %
31,Sudan,48109006,2.63 %,1234802,27,1765048,-9999,4.3,19,35 %,0.60 %
170,Suriname,623236,0.84 %,5196,4,156000,-1000,2.3,28,63 %,0.01 %
87,Sweden,10612086,0.59 %,62739,26,410340,39998,1.7,40,86 %,0.13 %
101,Switzerland,8796669,0.64 %,56197,223,39516,39998,1.5,42,75 %,0.11 %
60,Syria,23227014,4.98 %,1101765,126,183630,757103,2.7,22,53 %,0.29 %
57,Taiwan,23923276,0.13 %,29882,676,35410,23999,1.2,42,80 %,0.30 %
95,Tajikistan,10143543,1.92 %,190756,72,139960,-19999,3.1,22,28 %,0.13 %
22,Tanzania,67438106,2.96 %,1940358,76,885800,-39997,4.6,17,38 %,0.84 %
20,Thailand,71801279,0.15 %,104249,141,510890,18999,1.3,40,52 %,0.89 %
155,Timor-Leste,1360596,1.44 %,19300,91,14870,-5000,3,21,35 %,0.02 %
99,Togo,9053799,2.32 %,205100,166,54390,-2000,4.1,19,44 %,0.11 %
233,Tokelau,1893,1.18 %,22,189,10,0,2.6,27,0 %,0.00 %
195,Tonga,107773,0.86 %,915,150,720,-800,3.2,22,24 %,0.00 %
153,Trinidad and Tobago,1534937,0.25 %,3893,299,5130,-800,1.6,36,48 %,0.02 %
79,Tunisia,12458223,0.83 %,102106,80,155360,-4000,2,32,69 %,0.15 %
18,Turkey,85816199,0.56 %,474958,112,769630,-318067,1.9,32,77 %,1.07 %
111,Turkmenistan,6516100,1.33 %,85330,14,469930,-4000,2.6,26,52 %,0.08 %
210,Turks and Caicos,46062,0.79 %,359,48,950,200,1.6,38,79 %,0.00 %
226,Tuvalu,11396,0.74 %,84,380,30,-60,3.1,25,69 %,0.00 %
199,U.S. Virgin Islands,98750,-0.72 %,-715,282,350,-450,2.1,43,N.A.,0.00 %
30,Uganda,48582334,2.82 %,1332749,243,199810,-126181,4.4,16,29 %,0.60 %
41,Ukraine,36744634,-7.45 %,-2957105,63,579320,1784718,1.3,45,82 %,0.46 %
96,United Arab Emirates,9516871,0.80 %,75742,114,83600,0,1.4,34,94 %,0.12 %
21,United Kingdom,67736802,0.34 %,227866,280,241930,165790,1.6,40,85 %,0.84 %
3,United States,339996563,0.50 %,1706706,37,9147420,999700,1.7,38,83 %,4.23 %
135,Uruguay,3423108,0.01 %,314,20,175020,-1500,1.5,36,99 %,0.04 %
43,Uzbekistan,35163944,1.55 %,536292,83,425400,-19999,2.8,27,49 %,0.44 %
183,Vanuatu,334506,2.38 %,7766,27,12190,0,3.7,20,24 %,0.00 %
52,Venezuela,28838499,1.90 %,536803,33,882050,321106,2.2,28,N.A.,0.36 %
16,Vietnam,98858950,0.68 %,672094,319,310070,-82700,1.9,33,40 %,1.23 %
225,Wallis & Futuna,11502,-0.60 %,-70,82,140,-119,1.9,37,0 %,0.00 %
172,Western Sahara,587259,1.96 %,11273,2,266000,5600,2.2,32,95 %,0.01 %
44,Yemen,34449825,2.24 %,753211,65,527970,-29914,3.6,19,37 %,0.43 %
63,Zambia,20569737,2.76 %,552062,28,743390,-5000,4.2,17,46 %,0.26 %
74,Zimbabwe,16665409,2.11 %,344872,43,386850,-9999,3.4,18,37 %,0.21 %
